P,Implementation,Tmax,Ttrue,n,Sentinel,Time,Scaling
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,16,5.08428,4.30E-05,9.07E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,19,4.44305,3.90E-05,4.87E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,22,3.74936,3.10E-05,8.06E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,26,6.00059,4.00E-05,8.25E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,32,5.12512,5.70E-05,8.77E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,38,12.0709,8.10E-05,8.77E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,45,6.4673,0.00011,8.91E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,53,10.349,0.000151,1.01E+00
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,64,8.48267,0.000218,9.31E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,76,0.770689,0.000307,9.41E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,90,8.68704,0.000463,8.66E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,107,6.6972,0.000495,1.31E+00
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,128,6.99139,0.0007,1.16E+00
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,152,15.2411,0.001076,1.06E+00
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,181,4.25256,0.001852,8.06E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,215,6.5401,0.002786,8.77E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,256,7.77228,0.004404,8.88E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,304,7.41879,0.006054,8.63E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,362,17.4657,0.010388,5.72E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,430,18.7009,0.008462,1.12E+00
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,512,6.38456,0.012852,1.04E+00
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,608,21.7851,0.016945,1.02E+00
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,724,8.56682,0.023931,9.55E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,861,10.009,0.037708,9.53E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,1024,15.0743,0.048707,9.98E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,1217,30.1267,0.066292,9.63E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,1448,32.4621,0.094262,1.00E+00
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,1722,26.774,0.139341,1.01E+00
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,2048,50.2559,0.189891,9.53E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,2435,37.1636,0.27431,9.72E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,2896,19.2577,0.391208,9.45E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,3444,28.0925,0.536024,9.90E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,4096,41.5433,0.778916,9.33E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,4870,100.905,1.11937,9.32E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,5792,28.9433,1.53405,1.01E+00
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,6888,74.038,2.1767,9.59E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,8192,105.398,3.07391,9.58E-01
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,9741,59.7546,4.31235,1.01E+00
1, hpce.aes414.direct_fourier_transform_parfor_outer,1,4,11585,144.806,6.11248,1.00E+00
